status,score,path
BLUR,15.56,\\pc-max\D\docker\label-studio\media\upload\9\90f09bf5-capture_20260115_215134_918.png
BLUR,15.72,\\pc-max\D\docker\label-studio\media\upload\9\8135a991-anomaly_00001_20260301_095053_402_rice_worm.png
BLUR,15.75,\\pc-max\D\docker\label-studio\media\upload\9\aaedc7a6-capture_20260115_215130_342.png
BLUR,15.85,\\pc-max\D\docker\label-studio\media\upload\9\6c3a8934-capture_20260115_215128_739.png
BLUR,15.96,\\pc-max\D\docker\label-studio\media\upload\9\e8d95c43-anomaly_00054_20260204_202500_811_Lay_eggs.png
BLUR,16.18,\\pc-max\D\docker\label-studio\media\upload\9\ae64173b-anomaly_00038_20260118_182136_528.png
BLUR,16.25,\\pc-max\D\docker\label-studio\media\upload\9\fbf5d66d-capture_20260115_215132_975.png
BLUR,16.26,\\pc-max\D\docker\label-studio\media\upload\9\e1975d38-anomaly_00067_20260118_183850_175.png
BLUR,16.27,\\pc-max\D\docker\label-studio\media\upload\9\16722935-anomaly_00019_20260118_183734_986.png
BLUR,16.28,\\pc-max\D\docker\label-studio\media\upload\9\1e293cac-anomaly_00021_20260118_190154_606.png
BLUR,16.30,\\pc-max\D\docker\label-studio\media\upload\9\09f92e0a-anomaly_00014_20260118_182049_834.png
BLUR,16.34,\\pc-max\D\docker\label-studio\media\upload\9\f737ba3a-anomaly_00031_20260118_182135_380.png
BLUR,16.36,\\pc-max\D\docker\label-studio\media\upload\9\5d4de0d9-anomaly_00069_20260118_182359_789.png
BLUR,16.36,\\pc-max\D\docker\label-studio\media\upload\9\9aa6668a-anomaly_00069_20260118_182359_789.png
BLUR,16.37,\\pc-max\D\docker\label-studio\media\upload\9\7a239c88-anomaly_00025_20260118_182134_693.png
BLUR,16.39,\\pc-max\D\docker\label-studio\media\upload\9\1fc480c8-anomaly_00010_20260118_182049_244.png
BLUR,16.39,\\pc-max\D\docker\label-studio\media\upload\9\bce10187-anomaly_00010_20260118_182049_244.png
BLUR,16.39,\\pc-max\D\docker\label-studio\media\upload\9\6305c467-anomaly_00030_20260118_182135_239.png
BLUR,16.40,\\pc-max\D\docker\label-studio\media\upload\9\bf3fc7d4-anomaly_00032_20260118_182135_490.png
BLUR,16.44,\\pc-max\D\docker\label-studio\media\upload\9\68a16654-anomaly_00017_20260118_183726_523.png
BLUR,16.45,\\pc-max\D\docker\label-studio\media\upload\9\4ec69bbe-anomaly_00065_20260118_182359_339.png
BLUR,16.45,\\pc-max\D\docker\label-studio\media\upload\9\5ce70518-anomaly_00065_20260118_182359_339.png
BLUR,16.45,\\pc-max\D\docker\label-studio\media\upload\9\1b437a45-anomaly_00024_20260118_182134_592.png
BLUR,16.46,\\pc-max\D\docker\label-studio\media\upload\9\44ec3b3a-anomaly_00172_20260118_182947_706.png
BLUR,16.46,\\pc-max\D\docker\label-studio\media\upload\9\e8f14c38-anomaly_00063_20260118_183849_393.png
BLUR,16.46,\\pc-max\D\docker\label-studio\media\upload\9\2cc86968-anomaly_00028_20260118_182134_988.png
BLUR,16.50,\\pc-max\D\docker\label-studio\media\upload\9\0e110985-anomaly_00016_20260118_183726_377.png
BLUR,16.51,\\pc-max\D\docker\label-studio\media\upload\9\9c10de85-anomaly_00070_20260118_182359_944.png
BLUR,16.51,\\pc-max\D\docker\label-studio\media\upload\9\d6f5c7d9-anomaly_00070_20260118_182359_944.png
BLUR,16.53,\\pc-max\D\docker\label-studio\media\upload\9\50001152-anomaly_00198_20260118_183028_476.png
BLUR,16.53,\\pc-max\D\docker\label-studio\media\upload\9\1081939a-anomaly_00184_20260118_183007_848.png
BLUR,16.53,\\pc-max\D\docker\label-studio\media\upload\9\ba953177-anomaly_00196_20260118_183028_159.png
BLUR,16.54,\\pc-max\D\docker\label-studio\media\upload\9\50f0d1f0-anomaly_00029_20260118_182135_094.png
BLUR,16.61,\\pc-max\D\docker\label-studio\media\upload\9\69fd71ce-anomaly_00183_20260118_183007_662.png
BLUR,16.64,\\pc-max\D\docker\label-studio\media\upload\9\927af0f8-anomaly_00064_20260118_183849_759.png
BLUR,16.65,\\pc-max\D\docker\label-studio\media\upload\9\e317c6d9-anomaly_00010_20260204_192345_674_Lay_eggs.png
BLUR,16.65,\\pc-max\D\docker\label-studio\media\upload\9\e6c59573-anomaly_00043_20260228_184554_425_Color.png
BLUR,16.66,\\pc-max\D\docker\label-studio\media\upload\9\54e2c961-anomaly_00028_20260118_190241_296.png
BLUR,16.66,\\pc-max\D\docker\label-studio\media\upload\9\eda37a86-anomaly_00194_20260118_183027_811.png
BLUR,16.69,\\pc-max\D\docker\label-studio\media\upload\9\7597d48d-anomaly_00195_20260118_183028_008.png
BLUR,16.70,\\pc-max\D\docker\label-studio\media\upload\9\3f47a7d2-anomaly_00309_20260206_100936_159_Lay_eggs.png
BLUR,16.71,\\pc-max\D\docker\label-studio\media\upload\9\7afad6c8-anomaly_00018_20260204_192357_698_Lay_eggs.png
BLUR,16.71,\\pc-max\D\docker\label-studio\media\upload\9\0503d098-anomaly_00006_20260131_143321_410_paddy.png
BLUR,16.72,\\pc-max\D\docker\label-studio\media\upload\9\e30cc8e0-anomaly_00193_20260118_183027_710.png
BLUR,16.74,\\pc-max\D\docker\label-studio\media\upload\9\292c7c15-anomaly_00040_20260228_184554_252_Color.png
BLUR,16.76,\\pc-max\D\docker\label-studio\media\upload\9\3f788bc4-anomaly_00139_20260204_211306_879_Lay_eggs.png
BLUR,16.77,\\pc-max\D\docker\label-studio\media\upload\9\02a90ce7-anomaly_00011_20260118_190150_839.png
BLUR,16.78,\\pc-max\D\docker\label-studio\media\upload\9\af633a21-anomaly_00044_20260228_184554_494_Color.png
BLUR,16.81,\\pc-max\D\docker\label-studio\media\upload\9\2fd469c9-anomaly_00013_20260118_190151_035.png
BLUR,16.85,\\pc-max\D\docker\label-studio\media\upload\9\80d5329f-anomaly_00024_20260131_144406_726_Color.png
BLUR,16.86,\\pc-max\D\docker\label-studio\media\upload\9\8c0a7b15-anomaly_00022_20260131_144406_252_paddy.png
BLUR,16.86,\\pc-max\D\docker\label-studio\media\upload\9\7a37f76e-anomaly_00048_20260228_184554_666_Color.png
BLUR,16.89,\\pc-max\D\docker\label-studio\media\upload\9\7fbe4bd6-anomaly_00037_20260228_184544_020_Color.png
BLUR,16.89,\\pc-max\D\docker\label-studio\media\upload\9\ced9faeb-anomaly_00023_20260131_144406_658_Color.png
BLUR,16.91,\\pc-max\D\docker\label-studio\media\upload\9\9422336b-anomaly_00047_20260228_184554_597_Color.png
BLUR,16.91,\\pc-max\D\docker\label-studio\media\upload\9\d901940d-anomaly_00032_20260118_190241_812.png
BLUR,16.91,\\pc-max\D\docker\label-studio\media\upload\9\069739f1-anomaly_00005_20260131_143313_512_paddy.png
BLUR,16.92,\\pc-max\D\docker\label-studio\media\upload\9\db99b9fc-anomaly_00027_20260118_190241_158.png
BLUR,16.92,\\pc-max\D\docker\label-studio\media\upload\9\ae4e7959-capture_20260114_223730_170.png
BLUR,16.92,\\pc-max\D\docker\label-studio\media\upload\9\c68cfa22-anomaly_00017_20260131_143711_123_paddy.png
BLUR,16.95,\\pc-max\D\docker\label-studio\media\upload\9\2e5c0ff1-anomaly_00010_20260131_143321_681_paddy.png
BLUR,16.95,\\pc-max\D\docker\label-studio\media\upload\9\200c0721-anomaly_00012_20260131_143613_817_paddy.png
BLUR,16.95,\\pc-max\D\docker\label-studio\media\upload\9\1176c76b-anomaly_00011_20260131_143445_891_paddy.png
